,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Date
0,Client,172095,138442,1529182,171043,2069213,1630376,2060783,1933945,836338,218342,512693,358137,2021-11-01
1,DII,6017,90146,42589,1595759,401,41014,0,0,0,0,17753,0,2021-11-01
2,FII,89904,71358,836070,870588,383852,469209,311623,260607,43990,45629,77603,41005,2021-11-01
3,Pro,52957,21027,311306,81757,657864,585945,738924,531993,127485,224395,399764,89224,2021-11-01
4,Client,179572,122977,1543505,191818,2562806,1718271,2413909,2036802,916611,232658,556066,385554,2021-11-02
5,DII,5668,90226,43165,1594336,401,43014,0,0,0,0,29205,0,2021-11-02
6,FII,77353,75600,829712,868987,398460,490698,352084,264937,49494,51159,87517,45736,2021-11-02
7,Pro,45526,19316,321723,82964,659110,570633,854783,520878,143169,247507,436486,100034,2021-11-02
8,Client,181746,127985,1553615,196696,1219124,863153,1181985,1183410,976758,242251,589686,402898,2021-11-03
9,DII,5666,91228,42355,1594921,401,43014,0,0,0,0,42807,0,2021-11-03
10,FII,82546,74717,838255,888936,234956,393951,178661,175629,54927,55681,95928,47574,2021-11-03
11,Pro,42465,18493,329628,83300,331689,335843,425524,276922,153411,261147,456675,108607,2021-11-03
12,Client,179355,128390,1552738,197490,1431415,1100167,1414441,1418263,981693,248429,600919,403948,2021-11-04
13,DII,5666,91210,42355,1594921,401,43014,0,0,0,0,42807,0,2021-11-04
14,FII,82714,74803,840832,892611,246612,411991,195199,206445,55658,56560,96441,48512,2021-11-04
15,Pro,46319,19651,328690,79593,413347,448497,482134,378962,154821,257676,452005,110205,2021-11-04
16,Client,170252,134415,1574976,178975,1829780,1593705,1860795,1911140,986229,268635,620896,411008,2021-11-08
17,DII,5666,91180,43776,1606012,401,43014,0,0,0,0,51840,0,2021-11-08
18,FII,97016,64182,842471,914459,373058,467144,291813,245979,59911,60275,97997,52877,2021-11-08
19,Pro,40284,23441,329945,91722,586813,557526,637444,504271,168214,257080,443621,122105,2021-11-08
20,Client,182445,126331,1596772,196418,2236669,1634324,2185744,2020739,1072420,279883,661188,435862,2021-11-09
21,DII,5635,91180,44057,1608374,401,43014,0,0,0,0,71648,0,2021-11-09
22,FII,75629,71398,837094,916912,382429,474251,313096,219004,64506,64552,106701,54760,2021-11-09
23,Pro,47117,21917,341375,97594,651915,584567,772573,496413,182984,275529,480373,129342,2021-11-09
24,Client,195201,130934,1614516,215970,2534870,1715603,2425089,2129152,1148778,292937,701348,457331,2021-11-10
25,DII,13429,91202,44611,1602544,401,43014,0,0,0,0,83032,0,2021-11-10
26,FII,74244,75831,839245,934461,392686,517614,339749,248036,68896,68890,113026,58586,2021-11-10
27,Pro,36651,21558,351811,97208,664019,589244,827138,488287,191783,293672,512051,139582,2021-11-10
28,Client,205079,142034,1616001,229776,1361029,924232,1326287,1299671,1230116,288870,739669,472655,2021-11-11
29,DII,13429,90228,44446,1597005,401,43014,0,0,0,0,90817,0,2021-11-11
