,category,date,buyValue,sellValue,netValue,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
0,DII **,10-Dec-2021,4477.51,4090.88,386.63,,,,
1,FII/FPI *,10-Dec-2021,5595.06,6687.46,-1092.4,,,,
2,DII **,09-Dec-2021,5623.94,4841.1,782.84,0.0,,,
3,FII/FPI *,09-Dec-2021,6194.93,7780.48,-1585.55,1.0,,,
4,DII **,09-Dec-2021,5623.94,4841.1,782.84,2.0,0.0,,
5,FII/FPI *,09-Dec-2021,6194.93,7780.48,-1585.55,3.0,1.0,,
6,DII **,08-Dec-2021,7182.85,5447.35,1735.5,4.0,2.0,0.0,
7,FII/FPI *,08-Dec-2021,8150.87,8730.14,-579.27,5.0,3.0,1.0,
8,DII **,07-Dec-2021,6637.69,4031.88,2605.81,6.0,4.0,2.0,0.0
9,FII/FPI *,07-Dec-2021,7625.01,10209.98,-2584.97,7.0,5.0,3.0,1.0
