,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Date
0,Client,118750,114986,705152,148585,652377,1076475,661655,1053837,340559,120311,213944,166496,2021-02-01
1,DII,6801,36877,16409,809060,267,12483,0,0,0,0,631,0,2021-02-01
2,FII,85068,28901,671069,506054,228861,308362,201004,213283,21983,20593,36853,23322,2021-02-01
3,Pro,13341,43196,144341,73272,266958,310932,285804,441132,68316,110074,179430,61160,2021-02-01
4,Client,108357,107614,709181,146566,816911,1208680,772197,1184366,377994,145185,238334,189250,2021-02-02
5,DII,6986,42748,17243,800816,267,9853,0,0,0,65,1159,0,2021-02-02
6,FII,79104,31746,666007,515193,247951,347654,205491,234355,22478,24787,40448,25748,2021-02-02
7,Pro,19527,31866,153395,83251,283858,366341,371299,513807,87928,122830,208459,77869,2021-02-02
8,Client,120648,116971,720891,161394,872952,1395878,845808,1308874,413562,167113,263916,205942,2021-02-03
9,DII,7025,42429,20786,799255,267,9853,0,0,0,65,1928,0,2021-02-03
10,FII,80958,33784,662651,521137,235318,333980,188350,243687,24738,27156,44632,28571,2021-02-03
11,Pro,19767,35214,162610,85152,306344,378345,380723,565495,101182,130716,229006,90537,2021-02-03
12,Client,128925,122745,741456,194818,447516,680863,457343,735419,456548,186334,293022,224735,2021-02-04
13,DII,6016,42421,21708,797270,267,9853,0,0,0,155,3178,0,2021-02-04
14,FII,78402,45464,669932,520634,157686,258942,107237,159874,27311,28765,47372,30461,2021-02-04
15,Pro,25073,27786,170286,90660,152598,200921,193487,255286,112345,142404,252632,102462,2021-02-04
16,Client,139545,125162,742216,205134,676170,867045,677679,935347,496703,199907,312279,245879,2021-02-05
17,DII,1601,42421,23347,794580,267,9853,0,0,0,216,3649,0,2021-02-05
18,FII,74996,46802,671723,523369,202599,299876,131232,196083,30668,32053,52056,31878,2021-02-05
19,Pro,24635,26392,181217,95420,236266,298637,306391,343981,118557,156415,277944,110834,2021-02-05
20,Client,133776,126345,741289,206867,788697,1047328,768681,1092928,526373,215138,338980,254404,2021-02-08
21,DII,1277,41228,24207,801552,267,8653,0,0,0,216,4510,0,2021-02-08
22,FII,75167,41959,678344,520269,204156,322860,152768,228746,35333,35277,56284,34472,2021-02-08
23,Pro,24327,25015,184442,99594,302626,327035,374297,384202,127885,157657,289817,119412,2021-02-08
24,Client,131584,128190,742302,207144,895762,1106684,859157,1149296,547681,223023,356660,262530,2021-02-09
25,DII,881,41228,23895,803008,267,8653,0,0,0,216,4832,0,2021-02-09
26,FII,76392,39707,679701,519076,224727,328958,170864,242248,38267,36900,60686,35987,2021-02-09
27,Pro,25769,25501,186301,102971,308993,333933,399728,386684,133327,162615,297097,124237,2021-02-09
28,Client,128826,126103,744375,203189,1058146,1160829,991231,1193994,576729,228345,375524,270408,2021-02-10
29,DII,868,41812,22704,803690,267,8653,0,0,0,216,4832,0,2021-02-10
30,FII,76454,39075,679198,523492,248732,346224,182868,249764,38847,38372,64096,37267,2021-02-10
31,Pro,25539,24697,187248,103154,315380,315388,448426,387336,132010,166673,303134,125931,2021-02-10
32,Client,131402,128577,751539,211139,499202,687045,520622,755610,598735,240180,389853,276989,2021-02-11
33,DII,837,42040,21574,800360,267,8653,0,0,0,216,6242,0,2021-02-11
34,FII,78683,40805,685625,529371,186608,287666,122513,192822,41623,40308,67895,39771,2021-02-11
35,Pro,26496,25996,187948,105816,171288,202625,214230,237557,133517,167915,309885,131859,2021-02-11
36,Client,138110,130761,749361,215003,685134,867840,690626,945028,639451,243313,407523,285067,2021-02-12
37,DII,823,41735,22313,801610,267,8653,0,0,0,216,6791,0,2021-02-12
38,FII,78688,48156,686329,531784,204442,305364,160363,216548,43176,41058,71743,40131,2021-02-12
39,Pro,29161,26130,192527,102133,251219,270873,290073,291154,135478,177959,332048,137348,2021-02-12
40,Client,144777,135484,753301,215779,653336,1131748,687350,1149029,631674,252987,411779,288125,2021-02-15
41,DII,1223,41735,21848,802974,267,8653,0,0,0,216,7241,0,2021-02-15
42,FII,85467,49484,692847,536580,223471,324917,159325,243777,44851,40527,70898,40180,2021-02-15
43,Pro,27270,32034,191409,104072,272748,341428,303147,413940,141590,176926,328197,142351,2021-02-15
44,Client,135945,127493,755814,203757,925199,1070330,890240,1149399,644024,246496,422822,289578,2021-02-16
45,DII,1215,41687,21883,809643,267,8653,0,0,0,216,7246,0,2021-02-16
46,FII,80442,50451,689246,537081,263802,358818,193421,251183,45602,42305,73078,39593,2021-02-16
47,Pro,29737,27708,190708,107170,318304,325784,423911,363003,138294,177693,324774,137539,2021-02-16
48,Client,139064,129754,762068,205055,1100902,1123376,1012515,1199293,660706,246070,430031,291483,2021-02-17
49,DII,1217,41655,22753,811645,267,9487,0,0,0,216,7251,0,2021-02-17
50,FII,74848,45841,689605,540905,273674,365159,210618,248916,46320,42587,74890,39874,2021-02-17
51,Pro,30047,27926,193676,110497,323938,345837,475648,395650,137491,180185,332345,137701,2021-02-17
52,Client,137904,128906,770709,207986,606189,672976,593924,769517,673014,237780,434072,289935,2021-02-18
53,DII,1609,43338,23204,811990,1467,9487,0,0,0,216,7256,0,2021-02-18
54,FII,78261,50276,685721,548900,181053,292102,114207,188638,48407,43740,77608,39327,2021-02-18
55,Pro,30353,25607,198966,109724,194018,206179,274596,222589,138838,186067,341323,138541,2021-02-18
56,Client,131739,123660,760684,196167,872199,760978,830694,888467,648938,217558,422170,276043,2021-02-19
57,DII,1613,45377,23074,811064,267,10112,0,0,0,216,7256,0,2021-02-19
58,FII,78525,50293,687087,546261,228722,345213,149971,218413,48348,42911,76180,37742,2021-02-19
59,Pro,35779,28326,200898,118251,235206,255022,355729,264445,143112,184338,334792,131238,2021-02-19
60,Client,127052,117813,758833,193556,1125281,793586,1035997,927746,655650,206322,420241,267262,2021-02-22
61,DII,887,46035,21766,814209,267,12914,0,0,0,216,7256,0,2021-02-22
62,FII,84155,46829,696595,556047,259876,382119,168619,229090,43928,44930,72334,38118,2021-02-22
63,Pro,28193,29610,209275,122657,278236,259619,459044,291402,145510,184403,345257,130491,2021-02-22
64,Client,130732,115347,759804,189124,1164903,904192,1092205,1034106,613051,209478,405121,265232,2021-02-23
65,DII,835,46023,22051,820780,267,13015,0,0,0,216,7251,0,2021-02-23
66,FII,84354,48536,701992,558187,292389,403039,186220,244207,43082,45825,63030,39698,2021-02-23
67,Pro,26116,32131,202760,118516,293051,277325,472185,319258,145097,182696,325828,133285,2021-02-23
68,Client,123348,116375,761154,172865,880004,1168557,898974,1196827,526609,195806,361548,251503,2021-02-24
69,DII,851,46145,23471,825438,267,13415,0,0,0,216,7371,0,2021-02-24
70,FII,92727,51994,693003,551753,292526,408243,178728,271985,40218,43891,57681,38462,2021-02-24
71,Pro,32155,34567,193492,121064,279173,285820,374268,407223,151270,181452,291497,131400,2021-02-24
72,Client,84957,103671,727312,122925,509646,523451,495953,632728,272949,81232,167745,136876,2021-02-25
73,DII,851,42437,20413,809360,267,10857,0,0,0,0,685,0,2021-02-25
74,FII,93004,28923,622674,523841,125720,222356,83234,105203,12884,15774,20951,15569,2021-02-25
75,Pro,16930,20711,150224,64497,146804,163806,203250,182539,51832,94409,148284,38970,2021-02-25
76,Client,133765,123838,757077,147676,967922,593856,870424,754000,381611,101583,213954,182654,2021-02-26
77,DII,513,33571,21402,822726,267,12740,0,0,0,0,6132,0,2021-02-26
78,FII,83407,54196,640623,545394,182622,284030,142738,134394,21199,22822,32177,22608,2021-02-26
79,Pro,22921,29001,172661,75967,272381,237683,410030,239915,60056,131035,210603,50178,2021-02-26
80,Client,126331,133088,750893,149883,1022372,790647,964795,919882,413946,117858,248311,196448,2021-03-01
81,DII,584,34291,23298,827409,267,12740,0,0,0,0,7394,0,2021-03-01
82,FII,82434,40107,645420,540143,198308,291494,147444,157139,24749,24771,33407,24273,2021-03-01
83,Pro,27321,29184,176263,78439,310605,292811,419313,310671,70472,136958,220055,58866,2021-03-01
84,Client,144607,131637,756018,173179,1057699,941245,1026153,1043753,427272,129405,267172,207051,2021-03-02
85,DII,582,33410,26637,831138,267,11060,0,0,0,0,8798,0,2021-03-02
86,FII,76501,52118,651631,529038,200012,300643,148787,182004,27384,27376,35265,26314,2021-03-02
87,Pro,26411,30936,181188,82119,348929,336578,431967,363769,79391,141179,222812,64595,2021-03-02
88,Client,149089,140421,755497,175059,958073,1262901,970701,1265255,420405,147068,278240,214113,2021-03-03
89,DII,582,35730,28474,828959,267,11885,0,0,0,0,10197,0,2021-03-03
90,FII,80262,42902,649914,518673,242539,355072,175087,233157,31710,30558,37451,29227,2021-03-03
91,Pro,20524,31404,175905,87099,340319,360474,395410,491920,94192,140117,220419,74403,2021-03-03
92,Client,189833,145896,778272,205626,554472,586554,554673,701249,481444,149968,304042,228133,2021-03-04
93,DII,579,44669,29033,820270,267,11885,0,0,0,0,12099,0,2021-03-04
94,FII,76465,59600,642828,525731,161940,282217,109077,144952,33746,32435,41895,30165,2021-03-04
95,Pro,21854,38566,187559,86065,169956,191706,222885,226161,94461,153515,251615,77620,2021-03-04
96,Client,197608,159787,766447,217158,928189,754703,893141,908575,546261,150127,330611,242099,2021-03-05
97,DII,579,43788,29110,814545,267,11710,0,0,0,0,12619,0,2021-03-05
98,FII,81532,63472,644246,523552,197977,311234,152684,165045,35662,33937,45777,31282,2021-03-05
99,Pro,22805,35477,196702,81250,284833,279363,365441,283390,95433,168898,288349,79581,2021-03-05
100,Client,200411,160226,773989,221816,1190991,915209,1107915,1080765,571357,158835,352372,249922,2021-03-08
101,DII,598,45288,31518,818441,267,13210,0,0,0,0,13271,0,2021-03-08
102,FII,78013,67065,645484,523920,215155,330985,166507,185548,36673,34968,47953,31811,2021-03-08
103,Pro,28212,34655,197379,84193,348136,351329,480127,344420,100079,171119,294513,83189,2021-03-08
104,Client,190919,156939,777248,205209,1136590,1059946,1095979,1164073,587200,163896,365363,256184,2021-03-09
105,DII,613,48187,29574,822299,267,13210,0,0,0,0,12868,0,2021-03-09
106,FII,80477,52939,644524,540073,267985,344518,192936,189728,37529,35599,48883,33111,2021-03-09
107,Pro,22000,35944,202509,86274,325041,338043,440968,401916,104164,177088,301779,87288,2021-03-09
108,Client,189299,158133,781066,197634,571786,624780,605171,751190,600875,173943,375771,259006,2021-03-10
109,DII,635,51037,29233,823484,267,13210,0,0,0,0,12768,0,2021-03-10
110,FII,78999,50842,636446,537606,183937,294820,109073,155441,38967,36354,50463,33944,2021-03-10
111,Pro,21959,30880,200412,88433,177481,222964,219227,249143,106564,173239,307404,90586,2021-03-10
112,Client,201281,173602,783092,194031,1047328,742770,988924,940857,635673,172011,395753,267343,2021-03-12
113,DII,690,49740,30893,819826,267,13210,0,0,0,0,12769,0,2021-03-12
114,FII,74680,52704,623680,541140,251401,356231,193935,184890,37911,37183,51417,33860,2021-03-12
115,Pro,33555,34160,202992,85660,299652,311322,415789,297786,105437,183992,319082,91983,2021-03-12
116,Client,201593,162953,790942,185343,1200314,801430,1110871,994541,653512,171950,405957,264113,2021-03-15
117,DII,690,44793,31178,824147,267,13304,0,0,0,0,12924,0,2021-03-15
118,FII,72307,55522,615636,541213,282308,372624,219963,181260,38431,37973,52556,35765,2021-03-15
119,Pro,26402,37724,199746,86799,310605,318525,462660,330082,102041,183242,322547,93287,2021-03-15
120,Client,197172,168662,790294,181365,1348879,857249,1229774,1042626,660481,179282,413837,263665,2021-03-16
121,DII,696,44829,32332,827539,267,13288,0,0,0,0,13772,0,2021-03-16
122,FII,73696,54693,615262,537071,290862,373778,225424,189986,39754,38196,55596,36680,2021-03-16
123,Pro,28363,31743,194456,86369,348794,313263,533604,324966,102920,179192,319950,96325,2021-03-16
124,Client,196533,170128,783958,165296,1465328,823779,1306745,1029525,674318,169298,415932,261530,2021-03-17
125,DII,696,37529,32138,834256,267,14888,0,0,0,0,12899,0,2021-03-17
126,FII,75277,56673,611496,533810,311342,374198,248097,180485,37221,37249,56790,35979,2021-03-17
127,Pro,23692,31868,192857,87087,353864,322279,575959,325134,99890,182939,325808,91977,2021-03-17
128,Client,194924,175505,765121,151029,720606,559162,691903,742179,654865,156250,399909,252933,2021-03-18
129,DII,696,36498,32466,834713,267,13178,0,0,0,0,13055,0,2021-03-18
130,FII,77376,56039,614844,529211,183269,314216,127261,141300,38729,36594,56979,35165,2021-03-18
131,Pro,28591,33545,190210,87688,198230,212318,283208,215395,100397,182645,324048,87391,2021-03-18
132,Client,192430,171145,750667,154863,792197,791634,822740,926949,603726,172775,379398,246258,2021-03-19
133,DII,674,36660,30459,833615,267,13178,0,0,0,0,13459,0,2021-03-19
134,FII,79209,45492,628942,519651,227126,358253,159829,187643,40401,37552,56100,37090,2021-03-19
135,Pro,24639,43655,184919,86858,290107,248544,327128,297017,107376,168110,302546,95089,2021-03-19
136,Client,203150,170772,752560,156796,1044801,884304,1029217,1026173,607783,177615,378924,246194,2021-03-22
137,DII,674,39214,30414,837745,267,13178,0,0,0,0,13467,0,2021-03-22
138,FII,82180,49345,626522,513813,260861,386292,195226,200402,38060,36695,54793,33073,2021-03-22
139,Pro,25354,52027,189722,90864,323197,275257,404683,332456,112607,165157,311266,100200,2021-03-22
140,Client,199305,162629,749603,147241,961643,1031713,990123,1134253,566488,177630,362454,239448,2021-03-23
141,DII,674,39188,29968,840229,267,13178,0,0,0,0,13464,0,2021-03-23
142,FII,83255,44651,618290,504555,278462,404694,206871,220225,37606,35685,53264,33149,2021-03-23
143,Pro,23188,59954,184230,90066,331373,318241,374751,413348,111748,159468,286660,100186,2021-03-23
144,Client,199231,168438,747561,141223,1301095,917180,1188853,1084340,519829,155103,329301,234155,2021-03-24
145,DII,676,33999,29186,840640,267,10264,0,0,0,0,13457,0,2021-03-24
146,FII,80977,59068,603776,497375,299327,420519,224977,211495,33144,33659,47429,31915,2021-03-24
147,Pro,22904,42283,183716,85001,356434,306450,543293,358578,111829,170504,274615,93196,2021-03-24
148,Client,161408,156419,709781,98599,528460,450890,524076,599861,215924,77818,125886,147952,2021-03-25
149,DII,693,26145,19630,844331,267,7175,0,0,0,0,0,0,2021-03-25
150,FII,66707,40121,587212,454657,137141,243188,91442,110103,10764,15331,16595,13861,2021-03-25
151,Pro,20739,26862,143101,62137,176729,172980,227079,164269,42960,102967,127167,34303,2021-03-25
152,Client,155361,164029,718970,103431,703825,687280,741328,821640,258349,96387,157911,159670,2021-03-26
153,DII,1358,28158,19992,858692,267,7175,0,0,0,11,928,0,2021-03-26
154,FII,78756,32735,594845,459431,178765,269995,125111,150734,18275,20824,25361,22138,2021-03-26
155,Pro,21659,32212,150272,62525,291430,263875,307848,255951,60369,110417,152793,45831,2021-03-26
156,Client,161302,178558,714053,111116,784942,964162,829120,1029659,273640,108798,177250,164419,2021-03-30
157,DII,1398,27913,20996,870644,267,7175,0,0,0,11,2273,0,2021-03-30
158,FII,81529,25261,618491,457393,184368,270355,123556,173869,21168,23960,28312,23153,2021-03-30
159,Pro,20051,32548,152067,66454,347825,347754,364726,385918,70735,107101,157708,52298,2021-03-30
160,Client,198840,195719,830764,202386,1165789,1029444,1107702,1172812,326394,127325,212396,188108,2021-03-31
161,DII,1358,26300,20104,863107,267,7362,0,0,0,11,2297,0,2021-03-31
162,FII,72869,49295,599613,472317,258256,336493,214035,181765,21974,25241,30621,25475,2021-03-31
163,Pro,26669,28422,156774,69445,349986,362662,452561,381384,71660,117096,174714,56090,2021-03-31
164,Client,162551,156787,849644,204325,473188,547437,517438,682978,343238,141126,227513,192948,2021-04-01
165,DII,1358,26330,20195,868475,267,7362,0,0,0,11,13418,0,2021-04-01
166,FII,72655,44544,597049,475495,157004,251597,102163,119736,25602,28102,34749,28095,2021-04-01
167,Pro,16950,25853,155274,73867,177626,173623,188484,177305,83704,116117,176864,64313,2021-04-01
168,Client,162145,151522,860717,211823,948528,707289,902683,859733,395962,144208,248152,211363,2021-04-05
169,DII,688,22461,19411,859633,267,7362,0,0,0,9,17105,0,2021-04-05
170,FII,65907,55237,589714,492272,207884,286204,162853,146506,28651,30665,37817,30248,2021-04-05
171,Pro,19862,19382,163113,69227,289975,250300,381118,244916,81120,131175,202659,64446,2021-04-05
172,Client,157446,143994,872895,218838,1071525,857342,1018182,1003216,422890,159736,270833,224122,2021-04-06
173,DII,688,23170,18803,863339,267,7362,0,0,0,9,17548,0,2021-04-06
174,FII,65940,52397,586829,489983,246860,318301,185316,171201,30837,32034,39955,31126,2021-04-06
175,Pro,16407,20920,167671,74038,333177,302480,448331,311068,87133,134710,212524,71241,2021-04-06
176,Client,160074,145057,872360,219122,1049557,1171413,1039917,1218952,432269,169528,284542,227115,2021-04-07
177,DII,688,26955,20066,864724,267,7175,0,0,0,9,22120,0,2021-04-07
178,FII,61990,42114,589303,483519,248694,325920,179891,193762,33885,33395,43074,32979,2021-04-07
179,Pro,15326,23952,163405,77769,352500,383843,431210,475637,95727,133335,212145,76173,2021-04-07
180,Client,147861,136853,876923,219857,556452,601868,570710,738738,458839,179730,296018,235429,2021-04-08
181,DII,688,27775,21144,865896,267,7728,0,0,0,3,27665,0,2021-04-08
182,FII,62459,40184,587118,482995,154913,271626,103199,130186,35334,35184,45890,34568,2021-04-08
183,Pro,16904,23100,166561,82998,179404,183454,217127,195752,101779,140351,226379,85271,2021-04-08
184,Client,158840,136419,896238,240444,828272,779504,847154,950874,515684,184419,320285,247288,2021-04-09
185,DII,687,29108,22965,869637,267,7728,0,0,222,3,29540,0,2021-04-09
186,FII,63449,46750,585247,484614,193775,305666,140725,148802,37930,37469,50712,36188,2021-04-09
187,Pro,18381,29080,179078,88833,284025,285400,318460,278622,107165,152381,260464,90796,2021-04-09
188,Client,158648,131349,863102,226881,1271999,727669,1139870,904545,577757,171284,340600,253995,2021-04-12
189,DII,697,29519,21716,866686,267,10653,0,0,222,3,30040,0,2021-04-12
190,FII,60912,61131,594159,498697,225244,320151,167993,152282,41113,38844,58855,39666,2021-04-12
191,Pro,24314,22572,190471,77184,344316,287839,533963,289485,108262,179011,297859,95481,2021-04-12
192,Client,150938,125886,852720,217848,1047750,1072481,1044220,1150716,576049,188620,352897,254955,2021-04-13
193,DII,697,33960,22159,872661,267,10693,0,0,222,3,28220,0,2021-04-13
194,FII,69149,49933,606519,496955,241466,346293,160017,212730,46191,40029,61447,41801,2021-04-13
195,Pro,13662,24667,178956,72890,353460,365298,438706,431319,112584,172909,292482,104805,2021-04-13
196,Client,149533,124505,859177,219770,547195,638450,589820,774031,598165,199610,363777,258506,2021-04-15
197,DII,695,41822,24796,876207,267,23303,0,0,159,0,29871,0,2021-04-15
198,FII,78762,46385,604339,499806,186851,305132,116127,162256,47184,41081,64341,44507,2021-04-15
199,Pro,14311,30589,178277,70806,204457,216831,232823,247429,111361,170894,298880,108572,2021-04-15
200,Client,148411,125052,861098,222819,733609,835798,794637,989667,609149,221410,375955,266311,2021-04-16
201,DII,695,46246,26944,881415,267,23303,0,0,159,0,32836,0,2021-04-16
202,FII,88129,56974,610897,499361,234056,345986,141411,198084,49435,42146,69047,45328,2021-04-16
203,Pro,14911,23874,179099,74443,267439,283353,299323,300689,122321,169369,303226,121286,2021-04-16
204,Client,137840,114870,855784,224263,945788,953815,973010,1087033,642249,211649,391177,267849,2021-04-19
205,DII,631,40206,27468,885077,267,23703,0,0,159,0,33506,0,2021-04-19
206,FII,81877,54659,616015,500575,261884,384483,172413,237686,50813,43768,71918,44601,2021-04-19
207,Pro,14279,24892,183536,72888,331197,356653,393713,393935,116558,175881,313178,118848,2021-04-19
208,Client,143069,123689,859574,224324,1179520,976597,1111592,1135929,646791,217191,399547,269695,2021-04-20
209,DII,630,45913,27918,889554,267,23142,0,0,159,0,33256,0,2021-04-20
